"title","author","subject","abstract","date"
"continuous object state recognition for cooking robots using pre-trained vision-language models and black-box optimization","kento kawaharazuka, naoaki kanazawa, yoshiki obinata, kei okada, masayuki inaba","robotics","the state recognition of the environment and objects by robots is generally based on the judgement of the current state as a classification problem. on the other hand, state changes of food in cooking happen continuously and need to be captured not only at a certain time point but also continuously over time. in addition, the state changes of food are complex and cannot be easily described by manual programming. therefore, we propose a method to recognize the continuous state changes of food for cooking robots through the spoken language using pre-trained large-scale vision-language models. by using models that can compute the similarity between images and texts continuously over time, we can capture the state changes of food while cooking. we also show that by adjusting the weighting of each text prompt based on fitting the similarity changes to a sigmoid function and then performing black-box optimization, more accurate and robust continuous state recognition can be achieved. we demonstrate the effectiveness and limitations of this method by performing the recognition of water boiling, butter melting, egg cooking, and onion stir-frying.",2024-03-13
"empowering robotics with large language models: osmag map comprehension with llms","fujing xie, sören schwertfeger","robotics","recently, large language models (llms) have demonstrated great potential in robotic applications by providing essential general knowledge for situations that can not be pre-programmed beforehand. generally speaking, mobile robots need to understand maps to execute tasks such as localization or navigation. in this letter, we address the problem of enabling llms to comprehend area graph, a text-based map representation, in order to enhance their applicability in the field of mobile robotics. area graph is a hierarchical, topometric semantic map representation utilizing polygons to demark areas such as rooms, corridors or buildings. in contrast to commonly used map representations, such as occupancy grid maps or point clouds, osmag (area graph in opensstreetmap format) is stored in a xml textual format naturally readable by llms. furthermore, conventional robotic algorithms such as localization and path planning are compatible with osmag, facilitating this map representation comprehensible by llms, traditional robotic algorithms and humans. our experiments show that with a proper map representation, llms possess the capability to understand maps and answer queries based on that understanding. following simple fine-tuning of llama2 models, it surpassed chatgpt-3.5 in tasks involving topology and hierarchy understanding. our dataset, dataset generation code, fine-tuned lora adapters can be accessed at this https url.",2024-03-13
"merino: entropy-driven design for generative language models on iot devices","youpeng zhao, ming lin, huadong tang, qiang wu, jun wang","machine learning","generative large language models (llms) stand as a revolutionary advancement in the modern era of artificial intelligence (ai). however, directly deploying llms in resource-constrained hardware, such as internet-of-things (iot) devices, is difficult due to their high computational cost. in this paper, we propose a novel information-entropy framework for designing mobile-friendly generative language models. our key design paradigm is to maximize the entropy of transformer decoders within the given computational budgets. the whole design procedure involves solving a mathematical programming (mp) problem, which can be done on the cpu within minutes, making it nearly zero-cost. we evaluate our designed models, termed merino, across nine nlp downstream tasks, showing their competitive performance against the state-of-the-art autoregressive transformer models under the mobile setting. notably, merino achieves similar or better zero performance compared to the 350m parameter opt while being 4.9x faster on nvidia jetson nano with 5.5x reduction in model size. code will be made available soon.",2024-02-28
"neural slot interpreters: grounding object semantics in emergent slot representations","bhishma dedhia, niraj k. jha","computer vision and pattern recognition","object-centric methods have seen significant progress in unsupervised decomposition of raw perception into rich object-like abstractions. however, limited ability to ground object semantics of the real world into the learned abstractions has hindered their adoption in downstream understanding applications. we present the neural slot interpreter (nsi) that learns to ground and generate object semantics via slot representations. at the core of nsi is an xml-like programming language that uses simple syntax rules to organize the object semantics of a scene into object-centric program primitives. then, an alignment model learns to ground program primitives into slots through a bi-level contrastive learning objective over a shared embedding space. finally, we formulate the nsi program generator model to use the dense associations inferred from the alignment model to generate object-centric programs from slots. experiments on bi-modal retrieval tasks demonstrate the efficacy of the learned alignments, surpassing set-matching-based predictors by a significant margin. moreover, learning the program generator from grounded associations enhances the predictive power of slots. nsi generated programs demonstrate improved performance of object-centric learners on property prediction and object detection, and scale with real-world scene complexity.",2024-02-02
"exploring safety generalization challenges of large language models via code","qibing ren, chang gao, jing shao, junchi yan, xin tan, yu qiao, wai lam, lizhuang ma","computation and language","the rapid advancement of large language models (llms) has brought about remarkable capabilities in natural language processing but also raised concerns about their potential misuse. while strategies like supervised fine-tuning and reinforcement learning from human feedback have enhanced their safety, these methods primarily focus on natural languages, which may not generalize to other domains. this paper introduces codeattack, a framework that transforms natural language inputs into code inputs, presenting a novel environment for testing the safety generalization of llms. our comprehensive studies on state-of-the-art llms including gpt-4, claude-2, and llama-2 series reveal a common safety vulnerability of these models against code input: codeattack consistently bypasses the safety guardrails of all models more than 80% of the time. furthermore, we find that a larger distribution gap between codeattack and natural language leads to weaker safety generalization, such as encoding natural language input with data structures or using less popular programming languages. these findings highlight new safety risks in the code domain and the need for more robust safety alignment algorithms to match the code capabilities of llms.",2024-03-12
"proskill: a formal skill language for acting in robotics","félix ingrand (laas-cnrs, université de toulouse, toulouse, france)","robotics","acting is an important decisional function for autonomous robots. acting relies on skills to implement and to model the activities it oversees: refinement, local recovery, temporal dispatching, external asynchronous events, and commands execution, all done online. while sitting between planning and the robotic platform, acting often relies on programming primitives and an interpreter which executes these skills. following our experience in providing a formal framework to program the functional components of our robots, we propose a new language, to program the acting skills. this language maps unequivocally into a formal model which can then be used to check properties offline or execute the skills, or more precisely their formal equivalent, and perform runtime verification. we illustrate with a real example how we can program a survey mission for a drone in this new language, prove some formal properties on the program and directly execute the formal model on the drone to perform the mission.",2024-03-12
"couler: unified machine learning workflow optimization in cloud","xiaoda wang, yuan tang, tengda guo, bo sang, jingji wu, jian sha, ke zhang, jiang qian, mingjie tang","databases","machine learning (ml) has become ubiquitous, fueling data-driven applications across various organizations. contrary to the traditional perception of ml in research, ml workflows can be complex, resource-intensive, and time-consuming. expanding an ml workflow to encompass a wider range of data infrastructure and data types may lead to larger workloads and increased deployment costs. currently, numerous workflow engines are available (with over ten being widely recognized). this variety poses a challenge for end-users in terms of mastering different engine apis. while efforts have primarily focused on optimizing ml operations (mlops) for a specific workflow engine, current methods largely overlook workflow optimization across different engines.
in this work, we design and implement couler, a system designed for unified ml workflow optimization in the cloud. our main insight lies in the ability to generate an ml workflow using natural language (nl) descriptions. we integrate large language models (llms) into workflow generation, and provide a unified programming interface for various workflow engines. this approach alleviates the need to understand various workflow engines' apis. moreover, couler enhances workflow computation efficiency by introducing automated caching at multiple stages, enabling large workflow auto-parallelization and automatic hyperparameters tuning. these enhancements minimize redundant computational costs and improve fault tolerance during deep learning workflow training. couler is extensively deployed in real-world production scenarios at ant group, handling approximately 22k workflows daily, and has successfully improved the cpu/memory utilization by more than 15% and the workflow completion rate by around 17%.",2024-03-12
"drplanner: diagnosis and repair of motion planners using large language models","yuanfei lin, chenran li, mingyu ding, masayoshi tomizuka, wei zhan, matthias althoff","robotics","motion planners are essential for the safe operation of automated vehicles across various scenarios. however, no motion planning algorithm has achieved perfection in the literature, and improving its performance is often time-consuming and labor-intensive. to tackle the aforementioned issues, we present drplanner, the first framework designed to automatically diagnose and repair motion planners using large language models. initially, we generate a structured description of the planner and its planned trajectories from both natural and programming languages. leveraging the profound capabilities of large language models in addressing reasoning challenges, our framework returns repaired planners with detailed diagnostic descriptions. furthermore, the framework advances iteratively with continuous feedback from the evaluation of the repaired outcomes. our approach is validated using search-based motion planners; experimental results highlight the need of demonstrations in the prompt and the ability of our framework in identifying and rectifying elusive issues effectively.",2024-03-12
"from english to asic: hardware implementation with large language model","emil goh, maoyang xiang, i-chyn wey, t. hui teo","hardware architecture","in the realm of asic engineering, the landscape has been significantly reshaped by the rapid development of llm, paralleled by an increase in the complexity of modern digital circuits. this complexity has escalated the requirements for hdl coding, necessitating a higher degree of precision and sophistication. however, challenges have been faced due to the less-than-optimal performance of modern language models in generating hardware description code, a situation further exacerbated by the scarcity of the corresponding high-quality code datasets. these challenges have highlighted the gap between the potential of llms to revolutionize digital circuit design and their current capabilities in accurately interpreting and implementing hardware specifications. to address these challenges, a strategy focusing on the fine-tuning of the leading-edge nature language model and the reshuffling of the hdl code dataset has been developed. the fine-tuning aims to enhance models' proficiency in generating precise and efficient asic design, while the dataset reshuffling is intended to broaden the scope and improve the quality of training material. the model demonstrated significant improvements compared to the base model, with approximately 10% to 20% increase in accuracy across a wide range of temperature for the pass@1 metric. this approach is expected to facilitate a simplified and more efficient llm-assisted framework for complex circuit design, leveraging their capabilities to meet the sophisticated demands of hdl coding and thus streamlining the asic development process.",2024-03-11
"deriving dependently-typed oop from first principles -- extended version with additional appendices","david binder, ingo skupin, tim süberkrüb, klaus ostermann","programming languages","the expression problem describes how most types can easily be extended with new ways to produce the type or new ways to consume the type, but not both. when abstract syntax trees are defined as an algebraic data type, for example, they can easily be extended with new consumers, such as print or eval, but adding a new constructor requires the modification of all existing pattern matches. the expression problem is one way to elucidate the difference between functional or data-oriented programs (easily extendable by new consumers) and object-oriented programs (easily extendable by new producers). this difference between programs which are extensible by new producers or new consumers also exists for dependently typed programming, but with one core difference: dependently-typed programming almost exclusively follows the functional programming model and not the object-oriented model, which leaves an interesting space in the programming language landscape unexplored. in this paper, we explore the field of dependently-typed object-oriented programming by deriving it from first principles using the principle of duality. that is, we do not extend an existing object-oriented formalism with dependent types in an ad-hoc fashion, but instead start from a familiar data-oriented language and derive its dual fragment by the systematic use of defunctionalization and refunctionalization. our central contribution is a dependently typed calculus which contains two dual language fragments. we provide type- and semantics-preserving transformations between these two language fragments: defunctionalization and refunctionalization. we have implemented this language and these transformations and use this implementation to explain the various ways in which constructions in dependently typed programming can be explained as special instances of the phenomenon of duality.",2024-03-11
"automatic generation of python programs using context-free grammars","kamel yamani, marwa naïr, riyadh baghdadi","programming languages","in recent years, data has emerged as the new gold, serving as a powerful tool for creating intelligent systems. however, procuring high-quality data remains challenging, especially for code. to address this, we developed tinypy generator, a tool that generates random python programs using a context-free grammar. the generated programs are guaranteed to be correct by construction. our system uses custom production rules (in the backus-naur form (bnf) format) to recursively generate code. this allows us to generate code with different levels of complexity, ranging from code containing only assignments to more complex code containing conditionals and loops. our proposed tool enables effortless large-scale python code generation, beneficial for a wide range of applications. tinypy generator is particularly useful in the field of machine learning, where it can generate substantial amounts of python code for training python language models. additionally, researchers who are studying programming languages can utilize this tool to create datasets for their experiments, which can help validate the robustness of code interpreters or compilers. unlike existing research, we have open-sourced our implementation. this allows customization according to user needs and extends potential usage to other languages.",2024-03-11
"llms still can't avoid instanceof: an investigation into gpt-3.5, gpt-4 and bard's capacity to handle object-oriented programming assignments","bruno pereira cipriano, pedro alves","software engineering","large language models (llms) have emerged as promising tools to assist students while solving programming assignments. however, object-oriented programming (oop), with its inherent complexity involving the identification of entities, relationships, and responsibilities, is not yet mastered by these tools. contrary to introductory programming exercises, there exists a research gap with regard to the behavior of llms in oop contexts. in this study, we experimented with three prominent llms - gpt-3.5, gpt-4, and bard - to solve real-world oop exercises used in educational settings, subsequently validating their solutions using an automatic assessment tool (aat). the findings revealed that while the models frequently achieved mostly working solutions to the exercises, they often overlooked the best practices of oop. gpt-4 stood out as the most proficient, followed by gpt-3.5, with bard trailing last. we advocate for a renewed emphasis on code quality when employing these models and explore the potential of pairing llms with aats in pedagogical settings. in conclusion, while gpt-4 showcases promise, the deployment of these models in oop education still mandates supervision.",2024-03-10
"are llms ready for visualization?","pere-pau vázquez","human-computer interaction","generative models have received a lot of attention in many areas of academia and the industry. their capabilities span many areas, from the invention of images given a prompt to the generation of concrete code to solve a certain programming issue. these two paradigmatic cases fall within two distinct categories of requirements, ranging from ""creativity"" to ""precision"", as characterized by bing chat, which employs chatgpt-4 as its backbone. visualization practitioners and researchers have wondered to what end one of such systems could accomplish our work in a more efficient way. several works in the literature have utilized them for the creation of visualizations. and some tools such as lida, incorporate them as part of their pipeline. nevertheless, to the authors' knowledge, no systematic approach for testing their capabilities has been published, which includes both extensive and in-depth evaluation. our goal is to fill that gap with a systematic approach that analyzes three elements: whether large language models are capable of correctly generating a large variety of charts, what libraries they can deal with effectively, and how far we can go to configure individual charts. to achieve this objective, we initially selected a diverse set of charts, which are commonly utilized in data visualization. we then developed a set of generic prompts that could be used to generate them, and analyzed the performance of different llms and libraries. the results include both the set of prompts and the data sources, as well as an analysis of the performance with different configurations.",2024-03-10
"explaining code with a purpose: an integrated approach for developing code comprehension and prompting skills","paul denny, david h. smith iv, max fowler, james prather, brett a. becker, juho leinonen","human-computer interaction","reading, understanding and explaining code have traditionally been important skills for novices learning programming. as large language models (llms) become prevalent, these foundational skills are more important than ever given the increasing need to understand and evaluate model-generated code. brand new skills are also needed, such as the ability to formulate clear prompts that can elicit intended code from an llm. thus, there is great interest in integrating pedagogical approaches for the development of both traditional coding competencies and the novel skills required to interact with llms. one effective way to develop and assess code comprehension ability is with ``explain in plain english'' (eipe) questions, where students succinctly explain the purpose of a fragment of code. however, grading eipe questions has always been difficult given the subjective nature of evaluating written explanations and this has stifled their uptake. in this paper, we explore a natural synergy between eipe questions and code-generating llms to overcome this limitation. we propose using an llm to generate code based on students' responses to eipe questions -- not only enabling eipe responses to be assessed automatically, but helping students develop essential code comprehension and prompt crafting skills in parallel. we investigate this idea in an introductory programming course and report student success in creating effective prompts for solving eipe questions. we also examine student perceptions of this activity and how it influences their views on the use of llms for aiding and assessing learning.",2024-03-10
"a novel refactoring and semantic aware abstract syntax tree differencing tool and a benchmark for evaluating the accuracy of diff tools","pouria alikhanifard, nikolaos tsantalis","software engineering","software undergoes constant changes to support new requirements, address bugs, enhance performance, and ensure maintainability. thus, developers spend a great portion of their workday trying to understand and review the code changes of their teammates. abstract syntax tree (ast) diff tools were developed to overcome the limitations of line-based diff tools, which are used by the majority of developers. despite the notable improvements brought by ast diff tools in understanding complex changes, they still suffer from serious limitations, such as (1) lacking multi-mapping support, (2) matching semantically incompatible ast nodes, (3) ignoring language clues to guide the matching process, (4) lacking refactoring awareness, and (5) lacking commit-level diff support. we propose a novel ast diff tool based on refactoringminer that resolves all aforementioned limitations. first, we improved refactoringminer to increase its statement mapping accuracy, and then we developed an algorithm that generates ast diff for a given commit or pull request based on the refactoring instances and pairs of matched program element declarations provided by refactoringminer. to evaluate the accuracy of our tool and compare it with the state-of-the-art tools, we created the first benchmark of ast node mappings, including 800 bug-fixing commits and 188 refactoring commits. our evaluation showed that our tool achieved a considerably higher precision and recall, especially for refactoring commits, with an execution time that is comparable with that of the faster tools.",2024-03-09
"unisparse: an intermediate language for general sparse format customization","jie liu, zhongyuan zhao, zijian ding, benjamin brock, hongbo rong, zhiru zhang","computation and language","the ongoing trend of hardware specialization has led to a growing use of custom data formats when processing sparse workloads, which are typically memory-bound. these formats facilitate optimized software/hardware implementations by utilizing sparsity pattern- or target-aware data structures and layouts to enhance memory access latency and bandwidth utilization. however, existing sparse tensor programming models and compilers offer little or no support for productively customizing the sparse formats. additionally, because these frameworks represent formats using a limited set of per-dimension attributes, they lack the flexibility to accommodate numerous new variations of custom sparse data structures and layouts. to overcome this deficiency, we propose unisparse, an intermediate language that provides a unified abstraction for representing and customizing sparse formats. unlike the existing attribute-based frameworks, unisparse decouples the logical representation of the sparse tensor (i.e., the data structure) from its low-level memory layout, enabling the customization of both. as a result, a rich set of format customizations can be succinctly expressed in a small set of well-defined query, mutation, and layout primitives. we also develop a compiler leveraging the mlir infrastructure, which supports adaptive customization of formats, and automatic code generation of format conversion and compute operations for heterogeneous architectures. we demonstrate the efficacy of our approach through experiments running commonly-used sparse linear algebra operations with specialized formats on multiple different hardware targets, including an intel cpu, an nvidia gpu, an amd xilinx fpga, and a simulated processing-in-memory (pim) device.",2024-03-09
"we know i know you know; choreographic programming with multicast and multiply located values","mako bates, joseph p. near","programming languages","concurrent distributed systems are notoriously difficult to construct and reason about. choreographic programming is a recent paradigm that describes a distributed system in a single global program called a choreography. choreographies simplify reasoning about distributed systems and can ensure deadlock freedom by static analysis. in previous choreographic programming languages, each value is located at a single party, and the programmer is expected to insert special untyped ""select"" operations to ensure that all parties follow the same communication pattern.
we present he-lambda-small, a new choreographic programming language with multiply located values. he-lambda-small allows multicasting to a set of parties, and the resulting value will be located at all of them. this approach enables a simple and elegant alternative to ""select"": he-lambda-small requires that the guard for a conditional be located at all of the relevant parties. in he-lambda-small, checking that a choreography is well-typed suffices to show that it is deadlock-free. we present several case studies that demonstrate the use of multiply-located values to concisely encode tricky communication patterns described in previous work without the use of ""select"" or redundant communication.",2024-03-08
"watchat: explaining perplexing programs by debugging mental models","kartik chandra, tzu-mao li, rachit nigam, joshua tenenbaum, jonathan ragan-kelley","programming languages","often, a good explanation for a program's unexpected behavior is a bug in the programmer's code. but sometimes, an even better explanation is a bug in the programmer's mental model of the language they are using. instead of merely debugging our current code (""giving the programmer a fish""), what if our tools could directly debug our mental models (""teaching the programmer to fish"")? in this paper, we apply ideas from computational cognitive science to do exactly that. given a perplexing program, we use program synthesis techniques to automatically infer potential misconceptions that might cause the user to be surprised by the program's behavior. by analyzing these misconceptions, we provide succinct, useful explanations of the program's behavior. our methods can even be inverted to synthesize pedagogical example programs for diagnosing and correcting misconceptions in students.",2024-03-08
"llm4decompile: decompiling binary code with large language models","hanzhuo tan, qi luo, jing li, yuqun zhang","programming languages","decompilation aims to restore compiled code to human-readable source code, but struggles with details like names and structure. large language models (llms) show promise for programming tasks, motivating their application to decompilation. however, there does not exist any open-source llm for decompilation. moreover, existing decompilation evaluation systems mainly consider token-level accuracy and largely ignore code executability, which is the most important feature of any program. therefore, we release the first open-access decompilation llms ranging from 1b to 33b pre-trained on 4 billion tokens of c source code and the corresponding assembly code. the open-source llms can serve as baselines for further development in the field. to ensure practical program evaluation, we introduce decompile-eval, the first dataset that considers re-compilability and re-executability for decompilation. the benchmark emphasizes the importance of evaluating the decompilation model from the perspective of program semantics. experiments indicate that our llm4decompile has demonstrated the capability to accurately decompile 21% of the assembly code, which achieves a 50% improvement over gpt-4. our code, dataset, and models are released at this https url",2024-03-08
"dt-sim: property-based testing for mpc security","mako bates, joseph p. near","cryptography and security","formal methods for guaranteeing that a protocol satisfies a cryptographic security definition have advanced substantially, but such methods are still labor intensive and the need remains for an automated tool that can positively identify an insecure protocol. in this work, we demonstrate that property-based testing, ""run it a bunch of times and see if it breaks"", is effective for detecting security bugs in secure protocols. we specifically target secure multi-party computation (mpc), because formal methods targeting this security definition for bit-model implementations are particularly difficult. using results from the literature for probabilistic programming languages and statistical inference, we devise a test that can detect various flaws in a bit-level implementation of an mpc protocol. the test is grey-box; it requires only transcripts of randomness consumed by the protocol and of the inputs, outputs, and messages. it successfully detects several different mistakes and biases introduced into two different implementations of the classic gmw protocol. applied to hundreds of randomly generated protocols, it identifies nearly all of them as insecure. we also include an analysis of the parameters of the test, and discussion of what makes detection of mpc (in)security difficult.",2024-03-08
